,Address,Lat,Long,Provider
0,"Huda HBC Society, Gurgaon",28.4776200000001,77.0695200000001,arcgis
1,"HUDA Ashok Vihar Phase 1, Gurgaon",28.48321,77.0144900000001,arcgis
2,"Huda Flats, Gurgaon",28.4764811998826,77.0181172792489,arcgis
3,"Hans Enclave, Gurgaon",28.4454400000001,77.02565,arcgis
4,"Dron Apartment, Gurgaon",28.44989,77.03308,arcgis
5,"Pratham Meghdoot Apartments, Gurgaon",28.4432497230077,77.0005410925616,arcgis
6,"Sector-10A Gurgaon, Gurgaon",28.4467900000001,77.0109000000001,arcgis
7,"Shiv Nagar, Gurgaon",28.45102,77.0079500000001,arcgis
8,"Kataria's, Sector-5 Gurgaon, Gurgaon",28.48076,77.0190000000001,arcgis
9,"Patel Nagar, Gurgaon",28.46131,77.0390800000001,arcgis
10,"Narkanda Apartment, Gurgaon",28.36111,77.07559,arcgis
11,"Urban Green, Gurgaon",28.44134,77.04254,arcgis
12,"Sector-38 Gurgaon, Gurgaon",28.43577,77.0416700000001,arcgis
13,"Sector-38 Gurgaon, Gurgaon",28.43577,77.0416700000001,arcgis
14,"Jharsa, Gurgaon",28.4519216344667,77.04187429351,arcgis
15,"Laxman Vihar, Gurgaon",28.4813322751079,77.0071298192805,arcgis
16,"Sector-43 Gurgaon, Gurgaon",28.4547900000001,77.0860500000001,arcgis
17,"Raheja Teachers Apartments, Gurgaon",28.4547900000001,77.04187429351,arcgis
18,"Arjun Nagar, Gurgaon",28.4596500000001,77.0200500000001,arcgis
19,"DLF Regency Park 2, Gurgaon",28.4632800000001,77.0866,arcgis
20,"Sector-27 Gurgaon, Gurgaon",28.4640600000001,77.0840600000001,arcgis
21,"Green Meadows, DLF CITY PHASE 4, Gurgaon",28.4776200000001,77.0695200000001,arcgis
22,"Jan Pratinidhi Apartments, Gurgaon",28.4681200000001,77.0935000000001,arcgis
23,"dlf city phase2, DLF CITY, Gurgaon",28.4816000000001,77.0785900000001,arcgis
24,"Sector-26A Gurgaon, Gurgaon",28.46988,77.1003600000001,arcgis
25,"Block B Sushant Lok 1 Gurgaon, Sushant Lok, Gurgaon",28.4602400000001,77.0829900000001,arcgis
26,"DLF CITY PHASE 4, Gurgaon",28.4677655569206,77.0775998149107,arcgis
27,"Sector-28 Gurgaon, Gurgaon",28.4731600000001,77.0846000000001,arcgis
28,"ESSel Tower, IFFCO Chowk, Gurgaon",28.4773223915955,77.0676363769611,arcgis
29,"Jain Villa 3, Gurgaon",28.4731600000001,77.0695200000001,arcgis
30,"DLF City Phase -1, Golf Course Road, Gurgaon",28.4655421210738,77.0946355853403,arcgis
31,"Maruti Vihar Colony, Gurgaon",28.4756800000001,77.0809400000001,arcgis
32,"Ansal, Gurgaon",28.4776200000001,77.0695200000001,arcgis
33,"C Block Sushant Lok Phase - I, Gurgaon",28.45647,77.0811000000001,arcgis
34,"Cyber City, Gurgaon",28.4776200000001,77.0695200000001,arcgis
35,"U Block White Town House, Gurgaon",28.49983,77.0962300000001,arcgis
36,"DLF CITY PHASE 2, Gurgaon",28.4775129178059,77.0886566974877,arcgis
37,"DLF City Plots Phase 2, Gurgaon",28.48546,77.0228200000001,arcgis
38,"DESIGNER HOUSE, DLF CITY PHASE 2, Gurgaon",28.4776200000001,77.0695200000001,arcgis
39,DLF Phase 3,28.5034600000001,77.1001900000001,arcgis
40,"DLF City Court, Gurgaon",28.4831300000001,77.0960400000001,arcgis
41,"Builder Floor, DLF CITY PHASE 2, Gurgaon",28.4776200000001,77.0695200000001,arcgis
42,"Dlf 2, DLF CITY PHASE 2, Gurgaon",28.4816000000001,77.0785900000001,arcgis
43,"DLF CITY PHASE 3, Gurgaon",28.4775129178059,77.0886566974877,arcgis
44,"DLF CITY PHASE 1, Gurgaon",28.4775129178059,77.0886566974877,arcgis
45,"NRI Casa Lure Villas, Gurgaon",28.4776200000001,77.0695200000001,arcgis
46,"dlf city phase1, Gurgaon, DLF CITY PHASE 1, Gurgaon",28.48087,77.0858000000001,arcgis
47,"AM-1, DLF CITY PHASE 1, Gurgaon",28.4775129178059,77.0886566974877,arcgis
48,"DLF phase 1 floors, DLF CITY PHASE 1, Gurgaon",28.4447600000001,77.0442300000001,arcgis
49,"Brand New, DLF CITY PHASE 1, Gurgaon",28.4775129178059,77.0886566974877,arcgis
50,"Block C DLF Phase 1 Gurgaon, DLF CITY PHASE 1, Gurgaon",28.4678000000001,77.0989000000001,arcgis
51,"Bridge To India Energy Private LimitedC-8/5, Ground Floor, DLF Phase I, Block C, Sector 26ABlock C, Sector 26AGurugram, Haryana 122002India",28.47240873,77.0988162620001,arcgis
52,"C-2, 17 DLF PHASE 1 Arjun MargBlock C, Sector 26AGurugram, Haryana 122002India",28.47240873,77.0988162620001,arcgis
53,"C12/15, C-9 StBlock C, Sector 26AGurugram, Haryana 122022India",28.6625300000001,76.8804400000001,arcgis
54,"Prime Residential Plot, DLF CITY PHASE 1, Gurgaon",28.4776200000001,77.0695200000001,arcgis
55,"D-6/7, Block D, Sector 26DLF Phase 1, Sector 26AGurugram, Haryana 122002India",28.4824850000001,77.10829,arcgis
56,"D5/8DLF Phase 1, Sector 26AGurugram, Haryana 122002India",28.4824850000001,77.10829,arcgis
57,"H 22Block H, DLF Phase 1, Sector 26Gurugram, Haryana 122002India",28.4824850000001,77.10829,arcgis
58,"y-42/4, Shahtoot MargGurugram, Haryana 122002India",28.4736053230891,77.1011047735224,arcgis
59,"SCO-8, Sector31/32A Main Huda MarketG Block, DLF Phase 1, Sector 26Gurugram, Delhi 122002",28.4796900000001,77.1063800000001,arcgis
60,"Shop No. LG-57, DT Mega MallGolf Course Road, A Block, DLF Phase 1, Sector 28Gurugram, Haryana 122002",28.4813450000001,77.0937650000001,arcgis
61,"RAO RAM SINGH COMPLEX Doordarshan Apartments Road Sector 45 Opposite Rao Ram Singh Public SchoolChakkarpur, Sector 28Gurugram, Haryana 122003",28.4521900000001,77.0667600000001,arcgis
62,"Shop No. 24, 25, 26 Platina Tower Opposite Bristol Hotel SikenderpurA Block, DLF Phase 1, Sector 28Gurugram, Haryana 122004",28.3867194100001,76.9698395,arcgis
63,"independant house, Madanpuri, Gurgaon",28.46032,77.0156600000001,arcgis
64,"Surya Vihar, Gurgaon",28.4940700000001,76.9982600000001,arcgis
65,"Sector-5 Gurgaon, Gurgaon",28.48076,77.0190000000001,arcgis
66,"Urban Estate Residents Welfare Association, Gurgaon",28.4711175,77.01193575,arcgis
67,"Sector-4 Gurgaon, Gurgaon",28.4747300000001,77.00994,arcgis
68,"Kadipur, Gurgaon",28.44868,77.00165,arcgis
69,"Sector-31 Gurgaon, Gurgaon",28.4532600000001,77.0488800000001,arcgis
70,"Gandhi Nagar, Gurgaon",28.45041,77.0114300000001,arcgis
71,"Shanti Nagar, Gurgaon",28.45012,77.0232100000001,arcgis
72,"Huda Smayan Society, Gurgaon",28.4776200000001,77.0695200000001,arcgis
73,"Civil Lines, Gurgaon",28.4541800000001,77.0319200000001,arcgis
74,"Sector 15, Gurgaon",28.38239,76.91281,arcgis
75,"VIDHYA, Jyoti Park, Gurgaon",28.4619300000001,77.01205,arcgis
76,"Madanpuri, Gurgaon",28.46032,77.0156600000001,arcgis
77,"Ganpati Heights Apartment, Gurgaon",28.4673700000001,77.0338100000001,arcgis
78,"Rajiv Nagar, Gurgaon",28.47488,77.03756,arcgis
79,"Ganga Apartment, Gurgaon",28.4671943119626,77.0337999220093,arcgis
80,"Sanjay Gram Society, Gurgaon",28.48031,77.04499,arcgis
81,"Sector 13, Gurgaon",28.4756800000001,77.03898,arcgis
82,"Sector 51, Gurugram, Haryana 122001",28.48071,77.0245800000001,arcgis
83,"G25, F Block RdSushant Lok III, Sector 57Gurugram, Haryana 122003India ",28.4300600000001,77.0800200000001,arcgis
84,"Ansal Sushant Residency, Gurgaon",28.4431120932541,77.0829259715506,arcgis
85,"Huda Plot, Sector-57 Gurgaon, Gurgaon",28.4265,77.0793400000001,arcgis
86,"Ansal plot, Sushant Lok Phase - 3, Gurgaon",28.4602400000001,77.0829900000001,arcgis
87,"Ansal Basement, Gurgaon",28.4776200000001,77.0695200000001,arcgis
88,"Sushant Lok Phase - 3, Gurgaon",28.4602400000001,77.0829900000001,arcgis
89,"Plot, Sector-57 Gurgaon, Gurgaon",28.4265,77.0793400000001,arcgis
90,"Munjal A 263, Gurgaon",28.4776200000001,77.0695200000001,arcgis
91,"AAA Vision Floors 1, Gurgaon",28.4776200000001,77.0695200000001,arcgis
92,"huda residential plot, Sector-57 Gurgaon, Gurgaon",28.4265,77.0793400000001,arcgis
93,"Sector-57 Gurgaon, Gurgaon",28.4265,77.0793400000001,arcgis
94,"Ansal Florence Super, Gurgaon",28.4776200000001,77.0695200000001,arcgis
95,"Krrish Township, Gurgaon",28.40482,77.0547300000001,arcgis
96,"Unitech Independent Floors, Gurgaon",28.4776200000001,77.0695200000001,arcgis
97,"M2K Spring Floors, Gurgaon",28.4176551268394,77.0684430488487,arcgis
98,"Unitech Aspen Greens, Gurgaon",28.42738,77.032,arcgis
99,"Sector-52 Gurgaon, Gurgaon",28.43843,77.0798300000001,arcgis
100,"Tower-B 207 Golf Course Extension Road Pioneer Urban SquareSector 62Gurugram, Haryana 122102India ",28.299086303,77.102175,arcgis
101,"Blite Luxury Floors, Gurgaon",28.4776200000001,77.0695200000001,arcgis
102,"HSVP, Sector-57 Gurgaon, Gurgaon",28.4265,77.0793400000001,arcgis
103,"Wazirabad RdWazirabad, Sector 52Gurugram, Haryana 122413India ",28.4372561702616,77.0674788227398,arcgis
104,"MAYFIELD GARDEN , BLOCK-C, Mayfield Garden, Gurgaon",28.42143,77.06116,arcgis
105,"Orchid Island, Gurgaon",28.42803,77.0695200000001,arcgis
106,"Block J, Mayfield Garden, Sector 51Gurugram, Haryana 122018India ",28.4267300000001,77.0574350000001,arcgis
107,"Mayfield Garden, Gurgaon",28.4249287404928,77.0558719766865,arcgis
108,"SN F01 & G01, Ocus Quantum, Sector 51Sector 51Gurugram, Haryana 122002India ",28.47240873,77.0988162620001,arcgis
109,"1, Dharm MargOrchid Island, Sector 51Gurugram, Haryana 122003",28.43648,77.0676550000001,arcgis
110,"GurugramBlock H, Sector 57 Gurugram, Haryana 122003",28.4300600000001,77.0800200000001,arcgis
111,"1095Orchid Island, Sector 51 Gurugram, Haryana 122021",28.42909,77.0662200000001,arcgis
112,"Manohara MargBlock H, Sector 57 Gurugram, Haryana 122011",28.42995,77.0913200000001,arcgis
113,"BYOB, Lake Forest Wines wazirabad behind kissan mandi Wazirabad, Sector 52Gurugram, Haryana 122018",28.4174704110001,77.056515,arcgis
114,"Good Luck Society, Sector-51 Gurgaon, Gurgaon",28.42976,77.08266,arcgis
115,"Sector-47 Gurgaon, Gurgaon",28.4275700000001,77.0483600000001,arcgis
116,"Raheja Mall 4th FloorSohna Rd, D1 Block, Malibu Town, Sector 47 Gurugram, Haryana 122018, India ",28.4341000000001,77.0497200000001,arcgis
117,"Malibu Towne, Malibu Town, Gurgaon",28.4222500000001,77.0537100000001,arcgis
118,"Agarwal Floors 6, Gurgaon",28.4646886579261,77.0543891053125,arcgis
119,"Pocket H, Nirvana, Sector 50 Gurugram, Haryana 122018India ",28.426525,77.0571650000001,arcgis
120,"HUDA Kothi, Sector-47 Gurgaon, Gurgaon",28.4275700000001,77.0483600000001,arcgis
121,"builder floor/floor, Sector-47 Gurgaon, Gurgaon",28.4275700000001,77.0483600000001,arcgis
122,"901, Sohna RdNear Subhash Chowk, Malibu Town, Sector 47Gurugram, Haryana 122018India ",28.4276956671086,77.0374418646715,arcgis
123,"Spazedge MallSohna - Gurgaon Rd, Malibu Town, Sector 47 Gurugram, Haryana 122001 India ",28.460906067,77.0396400000001,arcgis
124,"Plot No. 804, Sector 38, Subash Chowk, BehindSadar Police Station Ln, Islampur Village, Sector 38 Gurugram, Haryana 121001 India ",28.4035871410001,77.2859450000001,arcgis
125,"Huda Colony, Sector 46 Gurugram, Haryana 122022 India ",28.44129,77.0561200000001,arcgis
126,"Netaji Subhash Marg Sector 47 Gurugram, Haryana 122018",28.4317621915817,77.0468650532794,arcgis
127,"Q Block South City 2 Sohna RoadMain, Malibu Town, Sector 47Gurugram, Haryana 122001",28.4206683118588,77.0395409220353,arcgis
128,"Gurugram Malibu Town, Sector 47 Gurugram, Haryana 122018",28.4341000000001,77.0497200000001,arcgis
129,"Kenwood, Malibu Town, Sector 47 Gurugram, Haryana 122018 India ",28.4341000000001,77.0497200000001,arcgis
130,"737, Sector 38 Islampur Village, Sector 38 Gurugram, Haryana 122018",28.4458250000001,77.0360250000001,arcgis
131,"Near Subhash Chowk Islampur Village, Sector 38 Gurugram, Haryana 122101",28.428777,77.03669025,arcgis
132,"Celebration Mall Sohna Rd, Central Park II, Sector 48 Gurugram, Haryana 122101",28.428365,77.0370100000001,arcgis
133,"Netaji Subhash Marg Sector 47 Gurugram, Haryana 122018",28.4317621915817,77.0468650532794,arcgis
